Bahasa Indonesia,ไทย,Add Reverse
Jepang,ประเทศญี่ปุ่น,y
ada,อยู่ที่,y
air,น้ำ,y
aku,ฉัน (!s),y
anda,คุณ,y
anjing,สุนัข,y
apel,แอปเปิล,y
ayam,ไก่,y
bank,ธนาคาร,y
banyak,มาก เยอะ,y
bayar,จ่าย,y
berapa,เท่าไหร่ อย่างไร,y
besar,ใหญ่,y
bisa,สามารถ,y
bola,ลูกบอล,y
bukan,ไม่ใช่,y
buku,หนังสือ,y
celana,กางเกง,y
cokelat,ช็อกโกแลต,
daging,เนื้อ,y
dan,และ,y
dapur,ห้องครัว,y
dari,จาก,y
datang,มา เยี่ยม,y
delapan,แปด,y
dengan,กับ ด้วย,y
di,ที่ ใน,y
dia,เขา,y
dompet,กระเป๋าสตางค์,y
dua,สอง,y
dua belas,สิบสอง,y
dua puluh,ยี่สิบ,y
duduk,นั่ง,y
empat,สี่,y
enak,อร่อย,y
enam,หก,y
es,เย็น น้ำแข็ง,y
garam,เกลือ,
gaun,ชุดเดรส,y
gedung,อาคาร,y
goreng,ทอด ผัด,y
gula,น้ำตาล,
harga,ราคา,y
hitam,สีดำ,y
hotel,โรงแรม,y
ia,เธอ (ญ) / เขา (๓ญ),y
ingat,จำ,y
ini,นี้,y
itu,~นั้น,y
jalan,เดินทาง ถนน,y
jatuh,ตก หกล้ม,y
jeruk,ส้ม,y
jumpa,พบ เจอ,y
jus,น้ำผลไม้,y
kacang,ถั่ว,y
kalian,พวกเธอ,y
kami,พวกเรา (ไม่รวมผู้ฟัง),y
kamu,เธอ,y
kantong celana,กระเป๋ากางเกง,y
kaya,รวย,y
ke,ไปยัง,y
kecap,ซีอิ๊ว,y
keluar,ออกไปข้างนอก,y
kembali,กลับมา,y
kita,ฉันและเธอ พวกเรา (รวมผู้ฟัง),y
kopi,กาแฟ,y
koran,หนังสือพิมพ์,y
kuat,แข็งแรง,y
kucing,แมว,y
kue,ขนมเค้ก,y
lagi,อีกครั้ง,y
lima,ห้า,y
lupa,ลืม,y
maaf,ขอโทษ,y
makan,กิน,y
makanan,อาหาร,y
malam,ตอนกลางคืน,y
mana,ที่ไหน,y
manis,หวาน,y
mantap,ยอดเยี่ยม สุดยอด,y
masuk,เข้าไปข้างใน,y
mau,ต้องการ,y
membaca,อ่าน,y
membeli,ซื้อ,y
menulis,เขียน,y
merah,สีแดง,y
mereka,พวกเขา,y
merica,พริกไทย,y
milik,ของ สิ่งของ,y
minta,ขอ,y
minum,ดื่ม,y
minuman,เครื่องดื่ม,y
mulai,เริ่ม,y
muncul,โผล่มา ปรากฏ,y
nama,ชื่อ,y
nasi,ข้าว,y
pagi,ตอนเช้า,y
pakain,เสื้อผ้า,y
panas,ร้อน,y
pasar,ตลาด,y
pensil,ดินสอ,y
pergi,ไป,y
permisi,ขออภัย โทษที,y
pesan,สั่ง (อาหาร),y
pisang,กล้วย,y
pulang,กลับบ้าน,y
punya,มี,y
putih,สีขาว,y
restoran,ร้านอาหาร,y
roti,โรตี ขนมปัง,y
rumah,บ้าน,y
sambal,ซอสพริก,y
sampai,จนถึง ถึง (เวลา),y
sana,ตรงโน้น,y
sarapan,อาหารเช้า,y
satu,หนึ่ง,y
saya,ฉัน (!a),y
sebelas,สิบเอ็ด,y
sekolah,โรงเรียน,y
selamat,มีความสุข,y
selesai,ทำเสร็จ เสร็จสิ้น,y
sembilan,เก้า,y
sepatu,รองเท้า,y
sepuluh,สิบ,y
setuju,เห็นด้วย,y
siang,ตอนกลางวัน,y
siapa,ใคร,y
silakan,เชิญ ได้โปรด,y
sini,ที่นี่,y
situ,ตรงนั้น,y
sore,ตอนบ่าย ตอนเย็น,y
stroberi,สตรอว์เบอร์รี,y
suka,ชอบ,y
sup,ซุป,y
surat,จดหมาย,y
susu,นม,y
tahu (n.),เต้าหู้,y
tahu (v.),รู้,y
tahun,ปี,y
tas,กระเป๋า,y
teh,ชา,y
telur,ไข่,y
tidak,ไม่,y
tidur,นอนหลับ,y
tiga,สาม,y
tinggal,อยู่ อยู่กับที่,y
toilet,ห้องน้ำ,y
toko,ร้านค้า,y
tomat,มะเขือเทศ,
tujuh,เจ็ด,y
umur,อายุ,y
ya,ใช่,y
~ku,ของฉัน,y
~mu,ของเธอ,y
~nya,ของเขา,y
